x,y,w_r,w_l
1.4046,-0.0100,0.6500,0.6500
1.4096,-0.0100,0.6500,0.6500
1.4146,-0.0100,0.6500,0.6500
1.4196,-0.0100,0.6500,0.6500
1.4246,-0.0100,0.6500,0.6500
1.4296,-0.0100,0.6500,0.6500
1.4346,-0.0100,0.6500,0.6500
1.4396,-0.0100,0.6500,0.6500
1.4446,-0.0100,0.6500,0.6500
1.4496,-0.0100,0.6500,0.6500
1.4546,-0.0100,0.6500,0.6500
1.4596,-0.0100,0.6500,0.6500
1.4646,-0.0100,0.6500,0.6500
1.4696,-0.0100,0.6500,0.6500
1.4746,-0.0100,0.6500,0.6500
1.4796,-0.0100,0.6500,0.6500
1.4846,-0.0100,0.6500,0.6500
1.4896,-0.0100,0.6500,0.6500
1.4946,-0.0100,0.6500,0.6500
1.4996,-0.0100,0.6500,0.6500
1.5046,-0.0100,0.6500,0.6500
1.5096,-0.0100,0.6500,0.6500
1.5146,-0.0100,0.6500,0.6500
1.5196,-0.0100,0.6500,0.6500
1.5246,-0.0100,0.6500,0.6500
1.5296,-0.0100,0.6500,0.6500
1.5346,-0.0100,0.6500,0.6500
1.5396,-0.0100,0.6500,0.6500
1.5446,-0.0100,0.6500,0.6500
1.5496,-0.0100,0.6500,0.6500
1.5546,-0.0100,0.6500,0.6500
1.5596,-0.0100,0.6500,0.6500
1.5646,-0.0100,0.6500,0.6500
1.5696,-0.0100,0.6500,0.6500
1.5746,-0.0100,0.6500,0.6500
1.5796,-0.0100,0.6500,0.6500
1.5846,-0.0100,0.6500,0.6500
1.5896,-0.0100,0.6500,0.6500
1.5946,-0.0100,0.6500,0.6500
1.5996,-0.0100,0.6500,0.6500
1.6046,-0.0100,0.6500,0.6500
1.6096,-0.0100,0.6500,0.6500
1.6146,-0.0100,0.6500,0.6500
1.6196,-0.0100,0.6500,0.6500
1.6246,-0.0100,0.6500,0.6500
1.6296,-0.0100,0.6500,0.6500
1.6346,-0.0100,0.6500,0.6500
1.6396,-0.0100,0.6500,0.6500
1.6446,-0.0100,0.6500,0.6500
1.6496,-0.0100,0.6500,0.6500
1.6546,-0.0100,0.6500,0.6500
1.6596,-0.0100,0.6500,0.6500
1.6646,-0.0100,0.6500,0.6500
1.6696,-0.0100,0.6500,0.6500
1.6746,-0.0100,0.6500,0.6500
1.6796,-0.0100,0.6500,0.6500
1.6846,-0.0100,0.6500,0.6500
1.6896,-0.0100,0.6500,0.6500
1.6946,-0.0100,0.6500,0.6500
1.6996,-0.0100,0.6500,0.6500
1.7046,-0.0100,0.6500,0.6500
1.7096,-0.0100,0.6500,0.6500
1.7146,-0.0100,0.6500,0.6500
1.7196,-0.0100,0.6500,0.6500
1.7246,-0.0100,0.6500,0.6500
1.7296,-0.0100,0.6500,0.6500
1.7346,-0.0100,0.6500,0.6500
1.7396,-0.0100,0.6500,0.6500
1.7446,-0.0100,0.6500,0.6500
1.7496,-0.0100,0.6500,0.6500
1.7546,-0.0100,0.6500,0.6500
1.7596,-0.0100,0.6500,0.6500
1.7646,-0.0100,0.6500,0.6500
1.7696,-0.0100,0.6500,0.6500
1.7747,-0.0100,0.6500,0.6500
1.7797,-0.0100,0.6500,0.6500
1.7847,-0.0100,0.6500,0.6500
1.7897,-0.0100,0.6500,0.6500
1.7947,-0.0100,0.6500,0.6500
1.7997,-0.0100,0.6500,0.6500
1.8047,-0.0100,0.6500,0.6500
1.8097,-0.0100,0.6500,0.6500
1.8147,-0.0100,0.6500,0.6500
1.8197,-0.0100,0.6500,0.6500
1.8247,-0.0100,0.6500,0.6500
1.8297,-0.0100,0.6500,0.6500
1.8347,-0.0100,0.6500,0.6500
1.8397,-0.0100,0.6500,0.6500
1.8447,-0.0100,0.6500,0.6500
1.8497,-0.0100,0.6500,0.6500
1.8547,-0.0100,0.6500,0.6500
1.8596,-0.0100,0.6500,0.6500
1.8646,-0.0099,0.6500,0.6500
1.8696,-0.0099,0.6500,0.6500
1.8746,-0.0099,0.6500,0.6500
1.8797,-0.0099,0.6500,0.6500
1.8847,-0.0100,0.6500,0.6500
1.8897,-0.0100,0.6500,0.6500
1.8947,-0.0100,0.6484,0.6484
1.8997,-0.0101,0.6466,0.6466
1.9047,-0.0101,0.6448,0.6448
1.9098,-0.0102,0.6431,0.6431
1.9148,-0.0102,0.6413,0.6413
1.9198,-0.0102,0.6396,0.6396
1.9248,-0.0102,0.6378,0.6378
1.9298,-0.0102,0.6361,0.6361
1.9347,-0.0101,0.6343,0.6343
1.9397,-0.0100,0.6326,0.6326
1.9446,-0.0099,0.6311,0.6311
1.9495,-0.0097,0.6297,0.6297
1.9545,-0.0095,0.6283,0.6283
1.9594,-0.0093,0.6269,0.6269
1.9644,-0.0092,0.6255,0.6255
1.9693,-0.0091,0.6241,0.6241
1.9743,-0.0091,0.6227,0.6227
1.9794,-0.0093,0.6213,0.6213
1.9845,-0.0095,0.6200,0.6200
1.9897,-0.0100,0.6186,0.6186
1.9949,-0.0106,0.6175,0.6175
2.0002,-0.0112,0.6165,0.6165
2.0055,-0.0120,0.6155,0.6155
2.0108,-0.0126,0.6145,0.6145
2.0160,-0.0131,0.6134,0.6134
2.0211,-0.0133,0.6124,0.6124
2.0260,-0.0132,0.6114,0.6114
2.0308,-0.0127,0.6104,0.6104
2.0354,-0.0117,0.6094,0.6094
2.0398,-0.0101,0.6083,0.6083
2.0438,-0.0079,0.6077,0.6077
2.0477,-0.0051,0.6071,0.6071
2.0513,-0.0018,0.6066,0.6066
2.0548,0.0019,0.6060,0.6060
2.0581,0.0059,0.6054,0.6054
2.0614,0.0101,0.6048,0.6048
2.0646,0.0144,0.6042,0.6042
2.0678,0.0188,0.6036,0.6036
2.0710,0.0230,0.6030,0.6030
2.0744,0.0271,0.6025,0.6025
2.0778,0.0308,0.6019,0.6019
2.0814,0.0343,0.6013,0.6013
2.0852,0.0372,0.6007,0.6007
2.0892,0.0396,0.6001,0.6001
2.0935,0.0414,0.6000,0.6000
2.0980,0.0425,0.6000,0.6000
2.1027,0.0431,0.6000,0.6000
2.1076,0.0433,0.6000,0.6000
2.1127,0.0432,0.6000,0.6000
2.1179,0.0427,0.6000,0.6000
2.1231,0.0421,0.6000,0.6000
2.1284,0.0414,0.6000,0.6000
2.1337,0.0407,0.6000,0.6000
2.1390,0.0401,0.6000,0.6000
2.1442,0.0396,0.6000,0.6000
2.1493,0.0393,0.6000,0.6000
2.1544,0.0392,0.6000,0.6000
2.1594,0.0391,0.6000,0.6000
2.1644,0.0392,0.6000,0.6000
2.1693,0.0393,0.6000,0.6000
2.1743,0.0394,0.6000,0.6000
2.1792,0.0396,0.6000,0.6000
2.1841,0.0398,0.6000,0.6000
2.1890,0.0400,0.6000,0.6000
2.1940,0.0401,0.6000,0.6000
2.1990,0.0402,0.6000,0.6000
2.2039,0.0402,0.6000,0.6000
2.2089,0.0402,0.6000,0.6000
2.2139,0.0402,0.6000,0.6000
2.2190,0.0402,0.6000,0.6000
2.2240,0.0402,0.6000,0.6000
2.2290,0.0401,0.6000,0.6000
2.2340,0.0401,0.6000,0.6000
2.2390,0.0400,0.6000,0.6000
2.2441,0.0400,0.6000,0.6000
2.2491,0.0400,0.6000,0.6000
2.2541,0.0399,0.6000,0.6000
2.2591,0.0399,0.6000,0.6000
2.2641,0.0399,0.6000,0.6000
2.2691,0.0399,0.6000,0.6000
2.2741,0.0400,0.6000,0.6000
2.2791,0.0400,0.6000,0.6000
2.2841,0.0400,0.6000,0.6000
2.2891,0.0400,0.6000,0.6000
2.2940,0.0400,0.6000,0.6000
2.2990,0.0400,0.6000,0.6000
2.3040,0.0400,0.6000,0.6000
2.3090,0.0400,0.6000,0.6000
2.3141,0.0400,0.6000,0.6000
2.3191,0.0400,0.6000,0.6000
2.3241,0.0400,0.6000,0.6000
2.3291,0.0400,0.6000,0.6000
2.3341,0.0400,0.6000,0.6000
2.3391,0.0400,0.6000,0.6000
2.3441,0.0400,0.6002,0.6002
2.3491,0.0400,0.6004,0.6004
2.3541,0.0400,0.6006,0.6006
2.3591,0.0400,0.6008,0.6008
2.3641,0.0400,0.6010,0.6010
2.3691,0.0400,0.6012,0.6012
2.3741,0.0400,0.6014,0.6014
